,change,date,last_day,stock,close0,high0,high_limit0,low0,open0,volume0,day0,close1,high1,high_limit1,low1,open1,volume1,day1,close2,high2,high_limit2,low2,open2,volume2,day2,close3,high3,high_limit3,low3,open3,volume3,day3,recent,last_recent,minute_low,minute_volume,minute,nearby,wave,vol5,volume_mean,recent_high,volume_high,recent_low,st,isnew
000055.XSHE_2017-08-01,0.923509561305,2017-08-01 00:00:00,2017-07-31 00:00:00,000055.XSHE,7.79,7.92,8.76,7.71,7.85,23489545.0,14.0,8.08,8.13,8.57,7.7,7.8,31748277.0,15.0,8.3,8.89,8.89,8.28,8.38,58230915.0,16.0,8.17,8.49,9.13,8.12,8.21,33741484.0,17.0,1.0,1.0,,,,1.0,0,0.100424328147,7696455.02353,10.16,49376621.0,6.52,False,False
000410.XSHE_2017-07-20,0.97602739726,2017-07-20 00:00:00,2017-07-19 00:00:00,000410.XSHE,8.35,8.36,8.39,7.88,7.91,10997524.0,6.0,8.34,8.55,8.77,8.24,8.34,10429529.0,7.0,8.6,8.76,8.76,8.38,8.38,12892641.0,8.0,8.44,8.65,9.03,8.36,8.55,9034628.0,9.0,1.0,1.0,8.38,4121200.0,09:45:00,0.0,0,0.0499405469679,10197872.9359,12.35,42964669.0,6.08,True,False
000410.XSHE_2017-07-31,0.998820754717,2017-07-31 00:00:00,2017-07-28 00:00:00,000410.XSHE,8.13,8.25,8.65,8.02,8.2,8800883.0,13.0,8.08,8.24,8.54,8.06,8.13,5100800.0,14.0,8.47,8.48,8.48,8.11,8.11,12469884.0,15.0,8.41,8.47,8.89,8.31,8.47,6057868.0,16.0,1.0,1.0,8.14,10199500.0,14:35:00,0.0,0,0.0482673267327,10105731.4545,12.14,42964669.0,6.08,True,False
000546.XSHE_2017-07-19,1.00706713781,2017-07-19 00:00:00,2017-07-18 00:00:00,000546.XSHE,10.2,10.99,12.19,9.97,10.99,16486747.0,5.0,10.29,10.42,11.22,10.15,10.3,5093790.0,6.0,11.32,11.32,11.32,10.27,10.28,20436489.0,7.0,11.54,11.96,12.45,11.3,11.4,34186578.0,8.0,1.0,1.0,10.28,12225500.0,14:16:00,0.0,0,0.10009718173,10884515.2824,13.26,50172133.0,9.35,False,False
000546.XSHE_2017-07-28,0.963229416467,2017-07-28 00:00:00,2017-07-27 00:00:00,000546.XSHE,11.25,11.28,12.32,11.04,11.1,6931724.0,12.0,11.37,11.55,12.38,11.15,11.21,14084077.0,13.0,12.01,12.51,12.51,11.08,11.14,44777189.0,14.0,12.8,13.19,13.21,12.05,12.05,38637949.0,15.0,1.0,1.0,11.08,24993800.0,14:12:00,1.0,0,0.0562884784521,10657948.5952,13.26,50172133.0,9.35,False,False
000615.XSHE_2017-08-11,,2017-08-11 00:00:00,2017-08-10 00:00:00,000615.XSHE,13.11,13.38,14.32,12.77,12.81,42558275.0,22.0,13.35,13.44,14.42,12.72,13.14,40843648.0,23.0,14.5,14.69,14.69,13.17,13.31,110132988.0,24.0,,,,,,,,1.0,1.0,13.18,31417700.0,09:43:00,2.0,1,0.0861423220974,52061008.8649,26.87,238921949.0,10.72,False,False
000635.XSHE_2017-08-02,0.988051470588,2017-08-02 00:00:00,2017-08-01 00:00:00,000635.XSHE,20.22,20.36,21.64,19.54,19.54,13505839.0,15.0,19.78,20.45,22.24,19.6,20.1,11442991.0,16.0,21.76,21.76,21.76,19.3,19.65,29590198.0,17.0,21.38,21.8,23.94,21.1,21.5,24347974.0,18.0,1.0,1.0,19.3,26249800.0,14:46:00,1.0,0,0.100101112235,8635052.3494,26.94,34094063.0,13.68,False,False
000659.XSHE_2017-08-04,1.0,2017-08-04 00:00:00,2017-08-03 00:00:00,000659.XSHE,4.37,4.43,4.63,4.3,4.41,8732885.0,17.0,4.31,4.39,4.59,4.29,4.37,10099448.0,18.0,4.53,4.53,4.53,4.26,4.29,31328567.0,19.0,4.47,4.55,4.76,4.44,4.53,12933950.0,20.0,1.0,1.0,4.26,9472500.0,13:17:00,1.0,0,0.0510440835267,27205908.6486,6.97,220298886.0,3.27,True,False
000710.XSHE_2017-07-27,1.00157452764,2017-07-27 00:00:00,2017-07-26 00:00:00,000710.XSHE,54.84,55.4,56.75,53.66,53.88,1499410.0,11.0,54.44,55.3,57.58,53.5,54.8,1035214.0,12.0,57.1,57.16,57.16,54.0,54.3,1919471.0,13.0,58.79,59.26,59.96,56.31,57.25,1532087.0,14.0,1.0,1.0,54.0,987900.0,10:25:00,1.0,0,0.0499331997328,2686540.26866,74.66,9106340.0,44.46,True,False
000759.XSHE_2017-07-26,1.00292397661,2017-07-26 00:00:00,2017-07-25 00:00:00,000759.XSHE,9.46,9.6,10.48,9.24,9.59,5622043.0,10.0,9.33,9.48,10.41,9.22,9.48,6702478.0,11.0,10.26,10.26,10.26,9.6,9.6,20681050.0,12.0,10.27,10.56,11.29,10.0,10.29,20136218.0,13.0,1.0,1.0,9.66,18377600.0,14:40:00,0.0,0,0.0996784565916,4529018.61176,10.9,25795038.0,6.99,False,False
