,win_ratio,mean,count
opentop0-opentop1-notyz0-notyz1-top0-top1-minute-volume,0.666666666667,1.02002566695,18
opentop0-opentop1-notyz0-notyz1-top0-speedup2-minute-volume,0.727272727273,1.02622541447,11
opentop0-opentop1-notyz1-yz0-top0-top1-jump1-jump2,0.736842105263,1.02263584318,38
opentop0-opentop1-notyz1-yz0-top0-top1-jump1-foot2,0.764705882353,1.0215107312,17
opentop0-opentop1-notyz1-yz0-top0-top1-jump1-speedup2,0.8,1.02223045638,10
opentop0-opentop1-notyz1-yz0-top0-top1-jump1-minute,0.714285714286,1.02154254236,84
opentop0-opentop1-notyz1-yz0-top0-top1-jump1-volume,0.714285714286,1.02957000343,21
opentop0-opentop1-notyz1-yz0-top0-top1-jump2-minute,0.756756756757,1.02133118067,37
opentop0-opentop1-notyz1-yz0-top0-top1-jump2-volume,0.666666666667,1.03293114962,12
opentop0-opentop1-notyz1-yz0-top0-top1-foot0-volume,0.68,1.0209692232,25
opentop0-opentop1-notyz1-yz0-top0-top1-foot2-volume,0.846153846154,1.03733521255,13
opentop0-opentop1-notyz1-yz0-top0-top1-speedup2-volume,0.9,1.03442235001,10
opentop0-opentop1-notyz1-yz0-top0-top1-minute-volume,0.708333333333,1.02265993429,24
opentop0-opentop1-notyz1-yz0-top0-jump1-jump2-foot0,0.736842105263,1.02263584318,38
opentop0-opentop1-notyz1-yz0-top0-jump1-jump2-foot2,0.785714285714,1.02596275853,14
opentop0-opentop1-notyz1-yz0-top0-jump1-jump2-speedup2,0.8,1.02223045638,10
opentop0-opentop1-notyz1-yz0-top0-jump1-jump2-minute,0.777777777778,1.02616630632,36
opentop0-opentop1-notyz1-yz0-top0-jump1-jump2-volume,0.666666666667,1.03293114962,12
opentop0-opentop1-notyz1-yz0-top0-jump1-foot0-foot2,0.764705882353,1.0215107312,17
opentop0-opentop1-notyz1-yz0-top0-jump1-foot0-speedup2,0.8,1.02223045638,10
opentop0-opentop1-notyz1-yz0-top0-jump1-foot0-minute,0.714285714286,1.02154254236,84
opentop0-opentop1-notyz1-yz0-top0-jump1-foot0-volume,0.714285714286,1.02957000343,21
opentop0-opentop1-notyz1-yz0-top0-jump1-foot2-minute,0.8125,1.02795931857,16
opentop0-opentop1-notyz1-yz0-top0-jump1-foot2-volume,0.846153846154,1.03733521255,13
opentop0-opentop1-notyz1-yz0-top0-jump1-speedup2-minute,0.8,1.02223045638,10
opentop0-opentop1-notyz1-yz0-top0-jump1-minute-volume,0.714285714286,1.02957000343,21
opentop0-opentop1-notyz1-yz0-top0-jump2-foot0-minute,0.756756756757,1.02133118067,37
opentop0-opentop1-notyz1-yz0-top0-jump2-foot0-volume,0.666666666667,1.03293114962,12
opentop0-opentop1-notyz1-yz0-top0-jump2-foot2-volume,0.833333333333,1.03586077501,12
opentop0-opentop1-notyz1-yz0-top0-jump2-minute-volume,0.666666666667,1.03293114962,12
opentop0-opentop1-notyz1-yz0-top0-foot0-foot2-volume,0.846153846154,1.03733521255,13
opentop0-opentop1-notyz1-yz0-top0-foot0-speedup2-volume,0.9,1.03442235001,10
opentop0-opentop1-notyz1-yz0-top0-foot0-minute-volume,0.708333333333,1.02265993429,24
opentop0-opentop1-notyz1-yz0-top0-foot2-minute-volume,0.846153846154,1.03733521255,13
opentop0-opentop1-notyz1-yz0-top1-jump1-jump2-foot0,0.736842105263,1.02263584318,38
opentop0-opentop1-notyz1-yz0-top1-jump1-jump2-foot2,0.785714285714,1.02596275853,14
opentop0-opentop1-notyz1-yz0-top1-jump1-jump2-speedup2,0.8,1.02223045638,10
opentop0-opentop1-notyz1-yz0-top1-jump1-jump2-minute,0.777777777778,1.02616630632,36
opentop0-opentop1-notyz1-yz0-top1-jump1-jump2-volume,0.666666666667,1.03293114962,12
opentop0-opentop1-notyz1-yz0-top1-jump1-foot0-foot2,0.764705882353,1.0215107312,17
opentop0-opentop1-notyz1-yz0-top1-jump1-foot0-speedup2,0.8,1.02223045638,10
opentop0-opentop1-notyz1-yz0-top1-jump1-foot0-minute,0.714285714286,1.02154254236,84
opentop0-opentop1-notyz1-yz0-top1-jump1-foot0-volume,0.714285714286,1.02957000343,21
