,win_ratio,mean
~opentop2-~speedup1-jump1-~jump2-foot1-small_volume-2,0.607843137255,1.022145296
speedup1-speedup2-jump2-~foot1-~small_volume-~opentop1-2,0.736842105263,1.02070366661
speedup1-~jump1-~foot1-isnew-2,0.7,1.02860327901
~opentop2-~speedup1-jump1-speedup2-~foot0-~foot1-~foot2-2,0.714285714286,1.03333465098
opentop2-foot0-~small_volume-2,0.642857142857,1.02270365316
~opentop2-~jump1-isnew-small_volume-2,0.714285714286,1.02545514173
~speedup1-jump1-jump2-~foot1-small_volume-2,0.707317073171,1.0354244522
isnew-yz1-2,0.727272727273,1.03442198316
~speedup1-speedup2-~foot1-foot2-small_volume-3,0.652173913043,1.02880430472
jump1-~speedup2-jump2-~foot1-foot2-~small_volume-3,0.785714285714,1.02100477892
~opentop2-~speedup1-foot1-~foot2-small_volume-~opentop1-3,0.642857142857,1.02314432143
~speedup1-~speedup2-foot0-~foot1-opentop1-3,0.761904761905,1.02921303148
~opentop2-~foot0-~small_volume-opentop0-3,0.692307692308,1.02556291932
~opentop2-jump2-foot0-foot2-small_volume-3,0.703703703704,1.02829913415
~opentop2-speedup1-foot1-foot2-3,0.736842105263,1.0331606618
speedup1-~foot2-isnew-small_volume-3,0.705882352941,1.02311347895
opentop2-~speedup1-~foot0-3,0.666666666667,1.03056927525
jump1-speedup2-jump2-~foot0-foot1-3,0.727272727273,1.02841823568
~foot1-small_volume-yz0-3,0.794117647059,1.0419845736
jump1-~foot0-~isnew-small_volume-~opentop0-~yz1-opentop1-4,0.923076923077,1.061530178
~speedup1-jump1-~speedup2-~foot2-small_volume-~opentop1-4,0.65,1.03320827689
~speedup2-jump2-~foot0-~foot1-~isnew-~opentop0-4,0.761904761905,1.03466883558
~speedup1-~jump2-~foot1-small_volume-~opentop0-top0-~opentop1-4,0.75,1.03120513818
~foot1-isnew-~opentop0-4,0.764705882353,1.0405455083
~opentop2-jump1-foot2-4,0.8,1.03075824909
opentop2-foot0-~small_volume-4,0.727272727273,1.02883575221
~speedup1-jump1-~speedup2-~foot1-small_volume-4,0.66,1.02982862395
~speedup1-jump1-~speedup2-~foot0-~isnew-small_volume-~opentop0-4,0.75,1.03847663518
~speedup1-jump1-~jump2-small_volume-~opentop0-4,0.739130434783,1.03219365524
~opentop2-foot1-~isnew-small_volume-~opentop0-4,0.8,1.04358562966
~speedup1-~jump2-small_volume-top0-~opentop1-4,0.725490196078,1.03487273294
jump1-~speedup2-~foot0-~foot2-small_volume-~opentop0-5,0.681818181818,1.02690464435
~speedup1-~jump1-~foot1-small_volume-5,0.8,1.03720572443
small_volume-opentop1-5,0.513888888889,0.983962710947
~jump1-~speedup2-~jump2-~foot0-~small_volume-5,0.692307692308,1.02298703579
jump2-~foot2-~isnew-yz0-yz1-6,0.666666666667,1.02645883621
opentop2-~jump2-~isnew-yz1-6,0.708333333333,1.0228101664
jump2-~foot0-small_volume-~opentop1-6,0.692307692308,1.0177532459
~speedup1-jump1-~foot2-~isnew-small_volume-7,0.608695652174,1.02291468178
