,win_ratio,mean,count
foot2-~opentop0-top0-~yz1-top1-opentop1,0.606060606061,1.02137154194,33
small_volume-yz0-~yz1-top1-opentop1,0.683333333333,1.02168779904,60
small_volume-~opentop0-top0-~yz1-top1-opentop1,0.620689655172,1.02286714946,58
~opentop2-isnew-yz0,0.616438356164,1.02190840809,73
~speedup1-speedup2-yz0,0.65,1.0242675011,80
~speedup1-isnew-yz0,0.615384615385,1.02255199426,91
jump1-speedup2-yz0,0.679245283019,1.0394825811,53
jump1-isnew-yz0,0.602272727273,1.02237393352,88
speedup2-jump2-yz0,0.634920634921,1.02503367549,63
speedup2-foot0-yz0,0.65,1.0242675011,80
speedup2-~foot1-yz0,0.632911392405,1.02229771629,79
speedup2-foot2-yz0,0.675675675676,1.02049384211,37
speedup2-~foot2-yz0,0.673076923077,1.02709269969,52
speedup2-small_volume-yz0,0.686567164179,1.02693000668,67
jump2-isnew-yz0,0.614457831325,1.02339507898,83
foot0-isnew-yz0,0.615384615385,1.02255199426,91
~foot1-isnew-yz0,0.702702702703,1.03557089612,37
foot2-isnew-~opentop0-top0,0.622222222222,1.03173442371,45
isnew-small_volume-yz0,0.711538461538,1.03001558326,52
~speedup1-speedup2-~yz1-top1-opentop1,0.630434782609,1.03149283376,46
~opentop2-isnew-small_volume,0.631578947368,1.02272985778,114
speedup1-foot1-isnew,0.652173913043,1.03010130091,46
speedup1-foot2-isnew,0.666666666667,1.03782036476,39
jump1-speedup2-isnew,0.622222222222,1.03622312561,45
speedup2-foot0-isnew,0.723404255319,1.03518390183,47
speedup2-isnew-small_volume,0.606741573034,1.02907551804,89
foot0-~foot1-isnew,0.657894736842,1.02293550408,76
foot0-isnew-small_volume,0.675324675325,1.02440674725,77
~foot1-foot2-isnew,0.620689655172,1.03105143079,87
foot2-isnew-small_volume,0.647058823529,1.03781848906,68
~opentop2-foot2-~opentop0-top0-~yz1-top1-opentop1,0.625,1.02372960695,32
~opentop2-small_volume-~opentop0-top0-~yz1-top1-opentop1,0.632653061224,1.02143946874,49
~speedup1-small_volume-yz0-~yz1-top1-opentop1,0.683333333333,1.02168779904,60
jump1-speedup2-yz0-~opentop1-top1,0.621621621622,1.02275929108,37
jump1-foot2-~opentop0-top0-~yz1-top1-opentop1,0.633333333333,1.02997065389,30
jump1-small_volume-yz0-~yz1-top1-opentop1,0.684210526316,1.02383827816,57
jump1-small_volume-~opentop0-top0-~yz1-top1-opentop1,0.622641509434,1.02547473871,53
jump1-small_volume-yz0-~opentop1-top1,0.645161290323,1.02454349565,62
speedup2-~foot2-yz0-~opentop1-top1,0.75,1.02780630001,32
~speedup2-small_volume-~opentop0-top0-~yz1-top1-opentop1,0.638888888889,1.02199357519,36
jump2-foot2-~opentop0-top0-~yz1-top1-opentop1,0.612903225806,1.02298818053,31
jump2-foot2-yz0-~opentop1-top1,0.627906976744,1.02679307267,43
jump2-~foot2-yz0-~yz1-top1-opentop1,0.691176470588,1.02332070012,68
jump2-~foot2-~yz0-top0-opentop0-~opentop1-top1,0.627450980392,1.03464113297,51
jump2-~isnew-yz0-~yz1-top1-opentop1,0.675324675325,1.02187383983,77
jump2-small_volume-yz0-~yz1-top1-opentop1,0.733333333333,1.02543997392,45
jump2-small_volume-~opentop0-top0-~yz1-top1-opentop1,0.611111111111,1.02063630479,54
jump2-small_volume-yz0-~opentop1-top1,0.661290322581,1.02257940147,62
jump2-small_volume-~yz0-top0-opentop0-~opentop1-top1,0.620689655172,1.03303621852,58
foot0-small_volume-yz0-~yz1-top1-opentop1,0.683333333333,1.02168779904,60
~foot0-small_volume-~opentop0-top0-~yz1-top1-opentop1,0.7,1.02473356486,40
~foot1-foot2-~opentop0-top0-~yz1-top1-opentop1,0.606060606061,1.02137154194,33
~foot1-small_volume-yz0-~yz1-top1-opentop1,0.683333333333,1.02168779904,60
~foot1-small_volume-~opentop0-top0-~yz1-top1-opentop1,0.614035087719,1.02248054195,57
foot2-isnew-~opentop0-top0-~opentop1-top1,0.609756097561,1.03039397346,41
foot2-small_volume-yz0-~opentop1-top1,0.645161290323,1.03270814644,31
~foot2-small_volume-yz0-~yz1-top1-opentop1,0.681818181818,1.02365720414,44
~foot2-small_volume-~opentop0-top0-~yz1-top1-opentop1,0.636363636364,1.02381916897,44
~foot2-small_volume-~yz0-top0-opentop0-~opentop1-top1,0.622222222222,1.03451244716,45
~isnew-small_volume-yz0-~yz1-top1-opentop1,0.705882352941,1.02797610794,51
~isnew-small_volume-~yz0-top0-opentop0-~opentop1-top1,0.606557377049,1.03232036734,61
~opentop2-~speedup1-isnew-yz0,0.616438356164,1.02190840809,73
~opentop2-jump1-speedup2-yz0,0.651162790698,1.02606816697,43
~opentop2-jump1-isnew-yz0,0.608695652174,1.02111677974,69
~opentop2-speedup2-~foot2-yz0,0.652173913043,1.02086650883,46
~opentop2-speedup2-small_volume-yz0,0.672413793103,1.02031155128,58
~opentop2-~speedup2-small_volume-~yz0-top0-opentop0,0.65625,1.02765589233,32
~opentop2-jump2-isnew-yz0,0.661016949153,1.03219987924,59
~opentop2-foot0-isnew-yz0,0.616438356164,1.02190840809,73
~opentop2-~foot1-isnew-yz0,0.694444444444,1.02367822959,36
~opentop2-foot2-isnew-~opentop0-top0,0.619047619048,1.02945709232,42
~opentop2-~foot2-isnew-yz0,0.614035087719,1.02281170908,57
~speedup1-jump1-speedup2-yz0,0.679245283019,1.0394825811,53
~speedup1-jump1-isnew-yz0,0.602272727273,1.02237393352,88
~speedup1-speedup2-jump2-yz0,0.634920634921,1.02503367549,63
~speedup1-speedup2-foot0-yz0,0.65,1.0242675011,80
~speedup1-speedup2-~foot1-yz0,0.632911392405,1.02229771629,79
~speedup1-speedup2-foot2-yz0,0.675675675676,1.02049384211,37
~speedup1-speedup2-~foot2-yz0,0.673076923077,1.02709269969,52
~speedup1-speedup2-small_volume-yz0,0.686567164179,1.02693000668,67
~speedup1-jump2-isnew-yz0,0.614457831325,1.02339507898,83
~speedup1-foot0-isnew-yz0,0.615384615385,1.02255199426,91
~speedup1-~foot1-isnew-yz0,0.702702702703,1.03557089612,37
~speedup1-isnew-small_volume-yz0,0.711538461538,1.03001558326,52
jump1-speedup2-jump2-yz0,0.666666666667,1.04020674721,51
jump1-speedup2-foot0-yz0,0.679245283019,1.0394825811,53
jump1-speedup2-~foot1-yz0,0.673076923077,1.04103974193,52
