,change,date,last_day,stock,close0,high0,high_limit0,low0,open0,volume0,day0,close1,high1,high_limit1,low1,open1,volume1,day1,close2,high2,high_limit2,low2,open2,volume2,day2,close3,high3,high_limit3,low3,open3,volume3,day3,recent,last_recent,minute_low,minute_volume,minute,nearby,wave,vol5,volume_mean,recent_high,volume_high,recent_low,isnew,st
000025.XSHE_2017-06-28,0.969766115231,2017-06-28 00:00:00,2017-06-27 00:00:00,000025.XSHE,49.24,50.8,53.46,47.3,47.3,12837260.0,6.0,47.81,50.18,54.16,47.68,48.75,10720000.0,7.0,52.59,52.59,52.59,47.35,47.37,22039111.0,8.0,53.1,56.59,57.85,51.0,51.0,22718440.0,9.0,1.0,1.0,47.45,12536100.0,10:11:00,1.0,0,0.0999790838737,2827983.82716,55.45,19817846.0,31.35,0.0,False
000595.XSHE_2017-06-26,1.01312910284,2017-06-26 00:00:00,2017-06-23 00:00:00,000595.XSHE,4.34,4.45,4.68,4.32,4.43,10990200.0,8.0,4.35,4.35,4.56,4.22,4.34,9639450.0,9.0,4.57,4.57,4.57,4.35,4.36,19611424.0,10.0,4.73,4.8,4.8,4.6,4.63,29311520.0,11.0,1.0,1.0,4.36,15407000.0,14:45:00,2.0,1,0.0505747126437,29999241.1818,10.62,153702960.0,3.72,0.0,True
000659.XSHE_2017-07-03,0.993657505285,2017-07-03 00:00:00,2017-06-30 00:00:00,000659.XSHE,4.49,4.58,4.76,4.44,4.48,17671872.0,13.0,4.5,4.56,4.71,4.45,4.52,9493372.0,14.0,4.71,4.73,4.73,4.51,4.54,37112423.0,15.0,4.73,4.75,4.95,4.6,4.7,22198570.0,16.0,1.0,1.0,4.51,15793300.0,11:23:00,1.0,0,0.0466666666667,29577787.2987,6.97,220298886.0,3.27,0.0,True
000877.XSHE_2017-07-03,1.03299856528,2017-07-03 00:00:00,2017-06-30 00:00:00,000877.XSHE,13.05,13.77,14.63,13.0,13.13,95299785.0,13.0,12.67,13.13,14.36,12.63,12.99,44456909.0,14.0,13.94,13.94,13.94,12.68,12.77,118970262.0,15.0,13.79,14.4,15.33,13.68,14.4,136980810.0,16.0,1.0,1.0,12.69,89231100.0,13:44:00,1.0,0,0.100236779795,100109517.585,18.35,267467861.0,9.73,0.0,False
000912.XSHE_2017-07-05,0.977517106549,2017-07-05 00:00:00,2017-07-04 00:00:00,000912.XSHE,9.05,9.13,9.94,8.9,9.02,21535146.0,15.0,9.3,9.6,9.96,8.91,9.1,48097224.0,16.0,10.23,10.23,10.23,9.18,9.18,90981763.0,17.0,10.68,11.19,11.25,9.93,10.0,93805978.0,18.0,1.0,1.0,9.18,49080600.0,11:07:00,3.0,1,0.1,41979003.5211,17.2,154568100.0,6.4,0.0,False
000922.XSHE_2017-07-06,0.939820742638,2017-07-06 00:00:00,2017-07-05 00:00:00,000922.XSHE,7.42,7.49,7.84,7.34,7.46,4744179.0,16.0,7.44,7.48,7.79,7.37,7.4,5374843.0,17.0,7.46,7.81,7.81,7.44,7.66,17041800.0,18.0,7.38,7.47,7.83,7.27,7.34,9801800.0,19.0,1.0,1.0,7.81,1522200.0,09:30:00,1.0,0,0.0080971659919,12960909.747,12.98,48869865.0,6.33,0.0,True
002158.XSHE_2017-06-26,0.954100051573,2017-06-26 00:00:00,2017-06-23 00:00:00,002158.XSHE,17.7,18.54,20.66,17.6,18.5,57289800.0,8.0,17.63,18.14,19.47,17.0,17.5,44518991.0,9.0,19.03,19.39,19.39,17.51,17.79,86433862.0,10.0,18.4,18.64,20.93,18.1,18.5,53366402.0,11.0,1.0,1.0,17.51,65500600.0,13:37:00,1.0,0,0.0998206814106,31025416.527,23.56,143770080.0,10.2,0.0,False
002234.XSHE_2017-07-03,1.01388888889,2017-07-03 00:00:00,2017-06-30 00:00:00,002234.XSHE,12.55,12.69,13.76,12.42,12.51,3120128.0,13.0,12.44,12.55,13.81,12.31,12.46,2765277.0,14.0,13.68,13.68,13.68,12.42,12.44,17603432.0,15.0,14.06,14.37,15.05,13.58,13.87,20820282.0,16.0,1.0,1.0,12.42,16667900.0,14:47:00,0.0,0,0.0996784565916,8081789.09524,21.31,42288584.0,10.37,0.0,False
002302.XSHE_2017-06-28,1.00261551874,2017-06-28 00:00:00,2017-06-27 00:00:00,002302.XSHE,21.17,21.3,22.94,20.55,21.09,43633421.0,10.0,20.85,21.33,23.29,20.7,21.1,38458498.0,11.0,22.94,22.94,22.94,20.11,20.68,100733612.0,12.0,23.02,24.8,25.23,22.8,23.0,112310733.0,13.0,1.0,1.0,20.11,88223600.0,14:25:00,3.0,1,0.100239808153,47325669.7534,26.14,130816486.0,10.73,0.0,False
002346.XSHE_2017-06-23,1.02683363148,2017-06-23 00:00:00,2017-06-22 00:00:00,002346.XSHE,26.77,27.66,29.98,26.6,27.01,9727047.0,7.0,25.41,26.99,29.45,25.31,26.94,9450381.0,8.0,27.95,27.95,27.95,25.69,25.97,21903307.0,9.0,27.74,28.96,30.75,27.4,28.7,20090704.0,10.0,1.0,1.0,25.7,11705700.0,10:42:00,2.0,1,0.0999606454152,14037013.4487,44.0,39916105.0,20.11,0.0,False
