,close,high,high_limit,low,volume,day
2016-01-05-000001.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000001.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000001.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000001.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000002.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000002.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000002.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000002.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000004.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000004.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000004.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000004.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000005.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000005.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000005.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000005.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000006.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000006.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000006.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000006.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000007.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000007.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000007.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000007.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000008.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000008.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000008.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000008.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000009.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000009.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000009.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000009.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000010.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000010.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000010.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000010.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000011.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000011.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000011.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000011.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000012.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000012.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000012.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000012.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000014.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000014.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000014.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000014.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000016.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000016.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000016.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000016.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000017.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000017.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000017.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000017.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000018.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000018.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000018.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000018.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000019.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
